DATE DE CLASSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION (villages de vacances);NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION (résidences de tourisme);NOMBRE DE LOGEMENTS (villages de vacances);classement prorogé
08/10/2025;CAMPING;1 étoile;TOURISME;-;CAMPING ONIVAL;La Falaise;80460;WOIGNARUE;https://camping-woignarue.fr/;-;720;-;240;-;-;non
17/10/2023;CAMPING;3 étoiles;TOURISME;-;CAMPING ONLYCAMP  WASSELONNE;Rue des Sapins;67310;WASSELONNE;https://www.campingwasselonne.fr/fr/;-;330;-;110;-;-;non
31/07/2024;CAMPING;3 étoiles;TOURISME;-;CAMPING ONLYCAMP DES HALLES;Allée Marcel Merle;58300;DECIZE;https://camping-des-halles-decize.fr/;-;270;-;90;-;-;non
04/10/2023;CAMPING;3 étoiles;TOURISME;-;CAMPING ONLYCAMP LE CURTELET;camping le curtelet;73610;LÉPIN-LE-LAC;https://camping-le-curtelet.com/;-;264;-;88;-;-;non
03/07/2024;CAMPING;3 étoiles;TOURISME;-;CAMPING ONLYCAMP LES TUILLÈRES;AVENUE DE LA CLAIRETTE;26340;VERCHENY;www.tuilleres.com;-;282;-;94;-;-;non
28/09/2022;CAMPING;3 étoiles;TOURISME;-;CAMPING ORLY D'AZUR;136 chemin de pépiole;83140;SIX-FOURS-LES-PLAGES;https://www.camping-orly.fr/fr/;-;291;-;97;-;-;non
25/10/2021;CAMPING;2 étoiles;TOURISME;-;CAMPING OSENBACH;Rue du Stade;68570;OSENBACH;https://www.camping-osenbach.com/;-;408;-;102;-;-;non
31/05/2022;CAMPING;4 étoiles;LOISIRS;-;CAMPING OSTRÉA;Route des huîtres;17550;DOLUS-D'OLÉRON;http://www.camping-ostrea.com/;-;200;-;81;-;-;non
28/09/2022;CAMPING;4 étoiles;TOURISME;-;CAMPING OSTRÉA;route des huîtres;17550;DOLUS-D'OLÉRON;https://camping-ostrea.com/;-;333;-;111;-;-;non
17/11/2025;CAMPING;3 étoiles;TOURISME;-;CAMPING OXYGÈNE;Les Chabrands Villedieu;04210;VALENSOLE;https://www.tikayan.com/fr/camping-oxygene-accueil;-;330;-;110;-;-;non
